Date Added,Spanish,English,Part of Speech,Popularity
2025-09-27,abarcar,to cover,transitive verb,42472
2025-09-27,chafa,crappy,adjective,3768
2025-09-27,exponer,to explain,transitive verb,55712
2025-09-27,hilar,to string together,transitive verb,7002
2025-09-27,perrear,to twerk,intransitive verb,0
2025-09-27,rallar,to grate,transitive verb,20085
2025-09-27,remedar,to mimic,transitive verb,2701
2025-09-27,replantear,to bring up again,transitive verb,3225
2025-09-27,tararear,to hum,transitive verb,9937
2025-09-27,¡Tate!,Look out!,interjection,4238
2025-09-28,comillas,quotation marks,plural noun (F),8998
2025-09-28,ligar,to tie,transitive verb,64676
2025-09-29,callar,to shut up,intransitive verb,66690
2025-09-29,calzar,to wear,transitive verb,26002
2025-09-29,falda,skirt,noun (F),184555
2025-09-29,pase lo que pase,no matter what,phrase,6408
2025-09-29,taco,heel,noun (M),113104
2025-09-29,talla,size,noun (F),123227
2025-09-30,estirar,to stretch,transitive verb,61442
2025-10-01,acabarse,to run out,pronominal verb,31067
2025-10-01,asco,disgust,noun (M),70763
2025-10-01,lodo,mud,noun (M),29869
2025-10-01,mantillo,mulch,noun (M),2007
2025-10-01,marear,to make sick,transitive verb,16395
2025-10-02,morder,to bite,transitive verb,87115
2025-10-03,altibajo,ups and downs,noun (M),3798
2025-10-03,atracón,feast,noun (M),3153
2025-10-03,desmayarse,to faint,pronominal verb,49612
2025-10-03,trastorno,disorder,noun (M),35143
2025-10-04,derretir,to melt,transitive verb,42830
2025-10-04,gorra,cap,noun (F),134059
2025-10-04,pajita,straw,noun (F),7675
2025-10-04,truco,trick,noun (M),32429
2025-10-05,abordar,to approach,transitive verb,111382
2025-10-06,bromear,to kid,intransitive verb,27541
2025-10-07,callarse,to be quiet,pronominal verb,34915
2025-10-07,conjunto,collection,noun (M),116181
2025-10-07,despertarse,to wake up,reflexive verb,554322
2025-10-07,panza,belly,noun (F),50459
2025-10-07,recalcar,to stress,transitive verb,14981
2025-10-07,traba,obstacle,noun (F),8463
2025-10-08,arándano,blueberry,noun (M),27948
2025-10-08,frambuesa,raspberry,noun (F),31716
2025-10-08,mora,blackberry,noun (F),61078
2025-10-08,ojera,bag under one's eyes,noun (F),5644
2025-10-08,rendirse,to give up,pronominal verb,39609
