Spanish,English
desviar,to divert
forrarse,to make a killing
estallar,to explode
ahuyentar,to frighten off
hurgar,to dig around in
saltarse,to skip
sortear,to avoid
trepar,to climb
desempeñarse,to work as
la acera,sidewalk
encender,to turn on
percatarse de,to realize
percibir,to receive
entrelazar,to intertwine
matizar,to qualify
indagar,to investigate
varar,to run aground
calar,to catch on
hacer caso de,to pay attention to
agotar,to wear out
asemejarse,to resemble
comportarse,to behave
agendar,to schedule
descartar,to rule out
salir bien,to go well
apoderarse de,to seize
retratar,to portray
enganchar,to hook
acceder a,to access
tragarse,to swallow
secuestrar,to kidnap
comprobar,to prove
desgastarse,to wear out
tirar de la cadena,to flush
mear,to piss
fardar,to show off
encontrarse con,to find
resultar,to turn out
cumplir con,to comply with
partir de,to start from
llover a cántaros,to pour
corregir,to correct
estar dispuesto a,to be willing to
escupir,to spit
acaparar,to monopolize
tener que ver con,to have to do with
latir,to beat
tapear,to have some tapas
reconocer,to recognize
salir impune de,to get away with
brotar,to sprout
padecer,to suffer from
cotillear,to gossip
ponerse en contacto con,to contact
recurrir,to turn to
trabarse,to get tangled up
deprimir,to depress
prevalecer,to prevail
aplanar,to flatten
zarpar,to set sail
conmoverse,to be moved
dejar huella,to leave one's mark
azotar,to whip
dar asco,to disgust
rematar,to cap off
poner fin a,put an end to
acabar con,to put an end to
estropear,to spoil
echar a perder,to spoil
abrirse paso,to make one's way
encasillar,to pigeonhole
tranquilizarse,to calm down
atreverse,to dare
acertar,to get right
agotarse,to run out
escasear,to be scarce
mirarse,to look at oneself
ingresar,to enter
contraer,to contract
rociar,to spray
otorgar,to grant
estar harto de,to be fed up with
dar de baja,to have disconnected
desplazarse,to move
atascarse,to get stuck
portarse,to behave
opacar,to detract from
despreciar,to despise
comprimir,to compress
fundir,to melt
pudrir,to rot
aguantar,to hold up
prestar atención,to pay attention
echarse a perder,to go bad
salpicar,to splash
enterarse,to find out
enchufar,to plug in
estafar,to rip off
dar lugar a,to give rise to
desempeñar,to play
derrocar,to overthrow
apuntar,to write down
perdurar,to live on
jactarse,to boast
asolar,to devastate
dar por hecho,to take for granted
mojar,to get wet
acariciar,to pet
afirmar,to assert
demorar,to delay
el sendero,path
estar a la altura de,to be up to
sobornar,to bribe
frenar,to slow down
confundir,to mix up
resumir,to summarize
apuntarse,to be up for it
arriesgarse a,to risk
contagiar,to pass on
descontrolarse,to get out of control
repartir,to give out
agotarse,to tire oneself out
instalarse,to settle
esforzarse por,to try hard to
rebotar,to bounce
urgir,to urge
ir en bici,to go by bike
trazar,to draw
armonizar,to match
ensayar,to rehearse
arrendar,to rent
manejarse,to get by
tomar en cuenta,to keep in mind
rondar,to be about
remontarse a,to go back to
patrocinar,to sponsor
aliarse,to join forces
topar,to run into
inicia sesión,log in
arrancar,to start
restar,to minimize
costar,to be hard
mentalizarse,to mentally prepare oneself
hacer falta,to need
encargarse de,to take care of
vigilar,to guard
alfabetizar,to teach to read and write
desmerecer,to deteriorate
sembrar,to plant
disfrazar,to disguise as
arar,to plow
contagiarse,to become infected
estropearse,to go bad
dar vuelta en,to turn into
retirar,to take away
machacar,to crush
triturar,to grind
elaborar,to manufacture
difundir,to spread
volar la cabeza,to blow one's mind
dar ganas de,to feel like
convivir,to live together
tender a,to tend to
retroceder,to back up
desahogar,to vent
alejar,to move away from
disponer de,to have
heredar,to inherit
desmoronarse,to collapse
rastrillar,to rake
desembocar,to lead to
aportar,to contribute
chupar,to suck
bendecir,to bless
descontar,to deduct
arrancar,to pull out
hacerse cargo de,to take charge of
bajarse de,to get off
quedar,to agree to meet
estropearse,to break down
encogerse,to shrink
atender,to pay attention
coser,to sew
tender,to lay out
tener ganas de,to want to
manchar,to stain
derrotar,to defeat
coger,to take
revolver,to stir
madrugar,to get up early
acechar,to stalk
lagrimear,to tear up
asentarse,to settle
en aquel entonces,back then
asustarse,to get frightened
retrasar,to delay
vaciar,to drain
entablar,to start up
asombroso,amazing
de ahí que,that's why
de cuando en cuando,from time to time
montar,to put on
al igual que,just like
encarar,to confront
desbancar,to oust
plantear,to suggest
plantearse,to consider
arruncharse,to curl up
factible,feasible
darse,to happen
almacenar,to store
deberse,to be due to
fingir,to fake
cegar,to blind
cabecear,to nod off
el ensayo,rehearsal
la cuna,cradle
desbloquear,to unblock
el trozo,piece
coquetear,to flirt
fijarse,to notice
partirse,to break
tumbar,to knock down
meterse,to go in
toser,to cough
la calabaza,pumpkin
integrarse,to fit in
congeniar,to get along
canalizar,to channel
el rasgo,feature
el hígado,liver
la ceniza,ash
alejado de,far from
la finca,country house
el paradero,whereabouts
ahorcarse,to hang oneself
antropófago,cannibalistic
desplazar,to displace
extenderse,to spread
arder,to burn
el palo,stick
contrapesar,to offset
el freno,brake
el don,gift
acudir,to turn to
la arcilla,clay
la autoconfianza,self-confidence
el autoconocimiento,self-knowledge
obligar,to force
probar suerte,to try one's luck
cansarse,to get tired
poquito a poquito,little by little
el payaso,clown
tramitar,to apply for
inscribirse,to register
a menos que,unless
desahogarse,to vent
a lo grande,in a big way
digerir,to digest
macho,male
la hembra,female
el tropiezo,stumble
externar,to express
aplazar,to postpone
enloquecer,to drive crazy
regañar,to scold
juzgar,to judge
regir,to govern
el crack,star
impulsar,to propel
apartar,to set aside
la cadera,hip
el aporte,contribution
retomar,to resume
anhelar,to long
rendirse,to give up
la mora,blackberry
la frambuesa,raspberry
el arándano,blueberry
la ojera,bag under one's eyes
la traba,obstacle
fijarse,to pay attention
despertarse,to wake up
recalcar,to stress
el conjunto,collection
callarse,to be quiet
la panza,belly
bromear,to joke
bromear,to kid
abordar,to approach
la gorra,cap
derretir,to melt
el truco,trick
la pajita,straw
desmayarse,to faint
el atracón,feast
el trastorno,disorder
el altibajo,ups and downs
morder,to bite
acabarse,to run out
el lodo,mud
el mantillo,mulch
marear,to make sick
el asco,disgust
estirar,to stretch
la talla,size
calzar,to wear
la falda,skirt
el taco,heel
pase lo que pase,no matter what
callar,to shut up
las comillas,quotation marks
ligar,to tie
replantear,to bring up again
tararear,to hum
¡Tate!,Look out!
rallar,to grate
perrear,to twerk
abarcar,to cover
exponer,to explain
hilar,to string together
remedar,to mimic
chafa,crappy
